coordinates LeftBoundaryScore RightBoundaryScore TADscore
chr10-0 -0.198791625156465 -0.208315556646868 -0.198791625156465
chr10-50000 -0.198791625156465 -0.208315556646868 -0.198791625156465
chr10-100000 -0.198791625156465 -0.208315556646868 -0.198791625156465
chr10-150000 -0.198791625156465 -0.208315556646868 -0.198791625156465
chr10-200000 -0.198791625156465 -0.208315556646868 -0.198791625156465
chr10-250000 -0.198791625156465 -0.208315556646868 -0.198791625156465
chr10-300000 -0.198791625156465 -0.208315556646868 -0.198791625156465
chr10-350000 -0.198791625156465 -0.208315556646868 -0.198791625156465
chr10-400000 -0.198791625156465 -0.208315556646868 -0.198791625156465
chr10-450000 -0.198791625156465 -0.208315556646868 -0.198791625156465
chr10-500000 -0.198791625156465 -0.208315556646868 -0.198791625156465
chr10-550000 -0.806715808821041 -0.148171743316747 -0.148171743316747
chr10-600000 -1.41858988519369 -0.186146080908982 -0.186146080908982
chr10-650000 -1.49609130369182 0.0227127758483086 0.0227127758483086
chr10-700000 -0.858533347413552 0.440430489362889 0.440430489362889
chr10-750000 0.229743284772658 1.16194290361535 1.16194290361535
chr10-800000 0.840637473720699 1.80750664268334 1.80750664268334
chr10-850000 -0.194841732448395 1.48472477314934 1.48472477314934
chr10-900000 -1.23032093861749 0.896122540469705 0.896122540469705
chr10-950000 -1.79512777834609 0.288533138993951 0.288533138993951
chr10-1000000 -1.4722317997817 0.345494645382303 0.345494645382303
chr10-1050000 0.799341489723015 0.991058384450292 0.991058384450292
chr10-1100000 1.96328813393204 1.71257079870275 1.96328813393204
chr10-1150000 1.96328813393204 1.73155796749887 1.96328813393204
chr10-1200000 1.83187480313425 1.104981397227 1.83187480313425
chr10-1250000 1.71923480530757 0.250558801401716 1.71923480530757
chr10-1300000 1.49395480965421 -0.660825300811914 1.49395480965421
chr10-1350000 1.1935814821164 -0.775560890224 1.1935814821164
chr10-1400000 0.527422626703332 -0.489940781646859 0.527422626703332
chr10-1450000 -0.147774495804345 -0.918370944512571 -0.147774495804345
chr10-1500000 -0.712581335532942 -1.20399105308971 -0.712581335532942
chr10-1550000 -0.99498475539724 -1.06118099880114 -0.99498475539724
chr10-1600000 -0.900850282109141 -0.727957538794476 -0.727957538794476
chr10-1650000 -0.618446862244842 -0.156717321640194 -0.156717321640194
chr10-1700000 -0.524312388956743 0.300368045920457 0.300368045920457
chr10-1750000 -0.477245152312693 0.800628129524567 0.800628129524567
chr10-1800000 -0.477245152312693 0.769787874395336 0.769787874395336
chr10-1850000 -0.477245152312693 0.540510437818337 0.540510437818337
chr10-1900000 -0.477245152312693 0.440430489362889 0.440430489362889
chr10-1950000 -0.477245152312693 0.117648619828895 0.117648619828895
chr10-2000000 -0.477245152312693 -0.470953612850741 -0.470953612850741
chr10-2050000 -0.477245152312693 -0.489940781646859 -0.477245152312693
chr10-2100000 -0.477245152312693 -0.489940781646859 -0.477245152312693
chr10-2150000 -0.477245152312693 -0.489940781646859 -0.477245152312693
chr10-2200000 -0.477245152312693 -0.489940781646859 -0.477245152312693
chr10-2250000 -0.477245152312693 -0.489940781646859 -0.477245152312693
chr10-2300000 -0.477245152312693 -0.489940781646859 -0.477245152312693
chr10-2350000 -0.477245152312693 -0.489940781646859 -0.477245152312693
chr10-2400000 -0.477245152312693 -0.489940781646859 -0.477245152312693
chr10-2450000 -0.477245152312693 -0.489940781646859 -0.477245152312693
chr10-2500000 -0.439698486370466 -0.489940781646859 -0.439698486370466
chr10-2550000 -0.433889996934858 -0.489940781646859 -0.433889996934858
chr10-2600000 -0.426406726299245 -0.470953612850741 -0.426406726299245
chr10-2650000 -0.41648161108789 -0.413992106462389 -0.413992106462389
chr10-2700000 -0.402825316830024 -0.300069093685686 -0.300069093685686
chr10-2750000 -0.383110679024594 -0.110197405724513 -0.110197405724513
chr10-2800000 -0.524312388956743 0.136635788625013 0.136635788625013
chr10-2850000 -0.571379625600792 0.440430489362889 0.440430489362889
chr10-2900000 -0.571379625600792 0.820173865285236 0.820173865285236
chr10-2950000 -1.74806054170204 0.85814820287747 0.85814820287747
chr10-3000000 -1.22817847115723 1.42776326676099 1.42776326676099
chr10-3050000 0.480194829214088 2.41509604415909 2.41509604415909
chr10-3100000 1.81310147016314 2.37712170656686 2.37712170656686
chr10-3150000 3.1647814440833 2.14927568101345 3.1647814440833
chr10-3200000 3.37128810676555 1.46573760435322 3.37128810676555
chr10-3250000 2.35752812632542 -0.015261561743926 2.35752812632542
chr10-3300000 1.13726148320306 -1.31262072028666 1.13726148320306
chr10-3350000 0.209073598868853 -1.68002456738495 0.209073598868853
chr10-3400000 -0.233191823688219 -1.5848178645259 -0.233191823688219
chr10-3450000 -0.345831821514899 -1.15638770166019 -0.345831821514899
chr10-3500000 -0.477245152312693 -0.489940781646859 -0.477245152312693
chr10-3550000 -0.0830051599193124 -0.452307027953177 -0.0830051599193124
chr10-3600000 0.386328164358521 -0.244118131899921 0.386328164358521
chr10-3650000 0.330008165445181 -0.0528920642444648 0.330008165445181
chr10-3700000 0.564942580962987 0.365114485568942 0.564942580962987
chr10-3750000 0.343062654222143 0.497391995751241 0.497391995751241
chr10-3800000 -0.253985645864687 -0.243107587297334 -0.243107587297334
chr10-3850000 -0.571379625600792 -1.29919775594876 -0.571379625600792
