coordinates LeftBoundaryScore RightBoundaryScore TADscore
chr20-1200000 0.94791152941204 1.35438468701262 1.35438468701262
chr20-1250000 1.27958330168395 1.28031173540398 1.28031173540398
chr20-2450000 0.284567984868224 1.90993182407743 1.90993182407743
chr20-4100000 1.99820547493975 1.90032383702136 1.99820547493975
chr20-4550000 1.42699297824924 0.938087969625676 1.42699297824924
chr20-4600000 1.22430467297196 1.33586644911046 1.33586644911046
chr20-4700000 1.35328813996659 1.29882997330614 1.35328813996659
chr20-5200000 0.333130646407426 2.37288777163143 2.37288777163143
chr20-5450000 2.80895869604886 0.621876064051481 2.80895869604886
chr20-5500000 2.71682764819555 1.3421168288466 2.71682764819555
chr20-6100000 3.1222042587501 3.22472671513081 3.22472671513081
chr20-7900000 2.32987724721166 2.61362486435952 2.61362486435952
chr20-7950000 2.49571313334761 2.24326010631631 2.49571313334761
chr20-8750000 2.93794216304349 3.26176319093513 3.26176319093513
chr20-9350000 1.24273088254262 2.09511420309903 2.09511420309903
chr20-10650000 1.81394337923313 -0.3661126499804 1.81394337923313
chr20-11550000 3.14063046832076 3.29879966673945 3.29879966673945
chr20-12850000 0.328610753711351 2.39140600953359 2.39140600953359
chr20-12900000 0.560961128428147 1.85437711037095 1.85437711037095
chr20-13800000 0.795100168627937 2.7617707675768 2.7617707675768
chr20-14300000 2.44043450463563 -0.494574321830117 2.44043450463563
chr20-15650000 1.70338612180916 1.46549411442558 1.70338612180916
chr20-15700000 1.9245006366571 1.20623878379533 1.9245006366571
chr20-16450000 -0.0826419235910346 1.35438468701262 1.35438468701262
chr20-16500000 -0.221232780257188 1.39142116281694 1.39142116281694
chr20-16750000 2.38515587592364 1.00253816687157 2.38515587592364
chr20-16800000 2.42200829506496 0.521063981415402 2.42200829506496
chr20-17450000 3.39859740231003 3.44694556995673 3.44694556995673
chr20-18000000 0.404957889056233 2.63214310226168 2.63214310226168
chr20-18550000 1.74023854095049 -0.562385020565208 1.74023854095049
chr20-18600000 1.64810749309718 -0.14453590542852 1.64810749309718
chr20-19650000 1.18494881133671 2.22474186841415 2.22474186841415
chr20-20050000 2.6431228099129 1.2522100141715 2.6431228099129
chr20-20600000 0.137158308302931 2.35436953372927 2.35436953372927
chr20-21000000 1.33486193039593 -0.980234135701896 1.33486193039593
chr20-21600000 2.73525385776621 2.70621605387032 2.73525385776621
chr20-21650000 3.14063046832076 2.22474186841415 3.14063046832076
chr20-22250000 1.66817098178776 2.72473429177248 2.72473429177248
chr20-22300000 1.37647739313883 2.7617707675768 2.7617707675768
chr20-23300000 0.295392196571489 1.61364001764286 1.61364001764286
chr20-24900000 1.86922200794512 1.98400477568607 1.98400477568607
chr20-24950000 1.46384539739056 2.02104125149039 2.02104125149039
chr20-25400000 1.74023854095049 0.612364228169442 1.74023854095049
chr20-25450000 2.01663168451041 0.510427584116484 2.01663168451041
chr20-26000000 -0.142870573367486 1.55808530393638 1.55808530393638
chr20-30100000 2.1640413610757 0.876873042683383 2.1640413610757
chr20-30350000 1.97977926536909 -0.283818943807416 1.97977926536909
chr20-30400000 1.33486193039593 -0.0981082259688885 1.33486193039593
chr20-30700000 1.27958330168395 0.658580367443644 1.27958330168395
chr20-31250000 -0.0286775778330226 1.3173482112083 1.3173482112083
chr20-31400000 1.97977926536909 0.652831249670794 1.97977926536909
chr20-31950000 1.85079579837446 2.9469531465984 2.9469531465984
chr20-32800000 2.53256555248893 1.79882239666446 2.53256555248893
chr20-33400000 2.4979643921375 3.09509904981569 3.09509904981569
chr20-33950000 0.83735427198807 1.46549411442558 1.46549411442558
chr20-34000000 1.83236958880379 1.02105640477373 1.83236958880379
chr20-34550000 2.69840143862489 3.03954433610921 3.03954433610921
chr20-35100000 1.81710826056848 1.70623120715366 1.81710826056848
chr20-35600000 0.653092176281455 2.50251543694656 2.50251543694656
chr20-35750000 1.37029642422632 1.33586644911046 1.37029642422632
chr20-36200000 1.60434071945317 1.43202364352171 1.60434071945317
chr20-37050000 1.35328813996659 2.61362486435952 2.61362486435952
chr20-37150000 2.45886071420629 1.42845763862126 2.45886071420629
chr20-37700000 2.47728692377695 2.87288019498976 2.87288019498976
chr20-37750000 2.53256555248893 2.72473429177248 2.72473429177248
chr20-39550000 1.57440265481453 0.780319312045647 1.57440265481453
chr20-40350000 2.14561515150504 2.02104125149039 2.14561515150504
chr20-42050000 3.14063046832076 3.09509904981569 3.14063046832076
chr20-42300000 1.42637580454013 -0.748095738403736 1.42637580454013
chr20-42350000 1.39368884237185 0.319740889167799 1.39368884237185
chr20-42750000 1.86922200794512 2.63214310226168 2.63214310226168
chr20-42800000 2.05348410365173 2.40992424743576 2.40992424743576
chr20-44400000 0.827108758133623 2.70621605387032 2.70621605387032
chr20-44600000 2.29302482807033 0.132180985470035 2.29302482807033
chr20-45100000 0.194539789741272 1.42989741296125 1.42989741296125
chr20-45350000 1.57607103874406 0.687728122534845 1.57607103874406
chr20-45800000 2.93794216304349 2.87288019498976 2.93794216304349
chr20-46300000 3.28804014488606 2.90991667079408 3.28804014488606
chr20-47250000 1.72576627294799 3.11361728771785 3.11361728771785
chr20-47900000 1.66653370266784 1.0990320081496 1.66653370266784
chr20-48550000 1.6849599122385 1.55189939642185 1.6849599122385
chr20-48750000 1.94292684622776 0.521063981415402 1.94292684622776
chr20-49350000 0.00817484130830052 2.46547896114224 2.46547896114224
chr20-49600000 1.57260886897339 0.621876064051481 1.57260886897339
chr20-50250000 1.41284993244938 1.03957464267589 1.41284993244938
chr20-52150000 2.8826635343315 1.57660354183854 2.8826635343315
chr20-52700000 1.9245006366571 2.70621605387032 2.70621605387032
chr20-53300000 1.37171434953726 2.28029658212063 2.28029658212063
chr20-53500000 1.94292684622776 -0.849285623344462 1.94292684622776
chr20-54800000 0.137158308302931 2.74325252967464 2.74325252967464
chr20-55100000 2.18246757064636 -0.37667430272668 2.18246757064636
chr20-55650000 0.425524550851528 1.48401235232774 1.48401235232774
chr20-56150000 1.64810749309718 -0.349293199986133 1.64810749309718
chr20-56200000 1.53755023567321 0.134030171329271 1.53755023567321
chr20-56800000 2.84581111519018 3.02102609820705 3.02102609820705
chr20-58600000 1.64810749309718 0.125533237158212 1.64810749309718
chr20-60500000 2.09033652279306 2.68769781596816 2.68769781596816
chr20-60550000 2.10876273236372 2.28029658212063 2.28029658212063
chr20-60850000 1.94292684622776 -0.0516805465092565 1.94292684622776
chr20-60950000 2.20089378021702 -0.396081588205436 2.20089378021702
chr20-61000000 1.68944773589929 -0.36551446520224 1.68944773589929
chr20-61500000 1.02161636769469 2.87288019498976 2.87288019498976
chr20-62150000 2.97479458218481 1.63215825554502 2.97479458218481
